,id,dt,i,c,m,p,t
137,INPR,2024-06-14T14:08:41+02:00,R84.94,83.00,1.94,2.34%,clickacompany
138,IVT,2024-06-14T17:00:23+02:00,R26.85,26.50,0.35,1.32%,clickacompany
139,IVTP,2024-06-14T16:49:47+02:00,R109.00,109.00,,,clickacompany
140,ISA,2024-06-14T16:47:33+02:00,R1.95,1.95,,,clickacompany
141,ISB,2024-06-14T10:40:06+02:00,R0.74,0.73,0.01,1.37%,clickacompany
142,ITE,2024-06-14T17:00:44+02:00,R9.95,9.70,0.25,2.58%,clickacompany
143,JBL,2024-06-14T16:45:44+02:00,R1.74,1.82,-0.08,-4.40%,clickacompany
144,JSE,2024-06-14T17:00:24+02:00,R99.50,94.78,4.72,4.98%,clickacompany
145,KAL,2024-06-14T15:28:37+02:00,R47.83,46.86,0.97,2.07%,clickacompany
146,KAP,2024-06-14T17:04:21+02:00,R2.65,2.46,0.19,7.72%,clickacompany
147,KRO,2024-06-14T15:43:34+02:00,R649.00,650.27,-1.27,-0.20%,clickacompany
148,KBO,2024-06-14T17:06:29+02:00,R0.01,0.01,,,clickacompany
149,KIO,2024-06-14T17:00:24+02:00,R444.93,441.36,3.57,0.81%,clickacompany
150,KP2,2024-06-14T17:02:20+02:00,R0.45,0.50,-0.05,-10.00%,clickacompany
151,KST,2024-06-14T16:49:57+02:00,R16.66,16.45,0.21,1.28%,clickacompany
152,LAB,2024-06-14T17:06:29+02:00,R0.07,0.07,,,clickacompany
153,LSK,2024-06-14T17:06:29+02:00,R84.00,84.00,,,clickacompany
154,LEW,2024-06-14T17:00:42+02:00,R52.50,50.44,2.06,4.08%,clickacompany
155,LHC,2024-06-14T17:00:41+02:00,R12.11,11.65,0.46,3.95%,clickacompany
156,LBR,2024-06-14T17:00:49+02:00,R3.70,3.70,,,clickacompany
157,LTE,2024-06-14T17:00:49+02:00,R7.76,7.82,-0.06,-0.77%,clickacompany
158,LNF,2024-06-14T17:06:29+02:00,R12.00,12.00,,,clickacompany
159,MHB,2024-06-14T12:27:41+02:00,R4.75,4.60,0.15,3.26%,clickacompany
160,MTU,2024-06-14T16:14:10+02:00,R1.40,1.50,-0.10,-6.67%,clickacompany
161,MCZ,2024-06-14T12:43:42+02:00,R1.90,1.90,,,clickacompany
162,MDI,2024-06-14T13:57:17+02:00,R12.39,12.39,,,clickacompany
163,MFL,2024-06-14T16:48:08+02:00,R2.55,2.55,,,clickacompany
164,MMP,2024-06-14T17:06:29+02:00,R29.15,29.15,,,clickacompany
165,MNP,2024-06-14T17:00:19+02:00,R340.43,343.81,-3.38,-0.98%,clickacompany
166,MTM,2024-06-14T17:00:31+02:00,R22.84,22.10,0.74,3.35%,clickacompany
167,MKR,2024-06-14T17:03:03+02:00,R96.00,94.65,1.35,1.43%,clickacompany
168,MTH,2024-06-14T17:05:02+02:00,R89.40,85.57,3.83,4.48%,clickacompany
169,MPT,2024-06-14T16:45:42+02:00,R25.45,25.02,0.43,1.72%,clickacompany
170,MRF,2024-06-14T17:00:48+02:00,R1.37,1.39,-0.02,-1.44%,clickacompany
171,MRP,2024-06-14T17:05:20+02:00,R194.33,182.67,11.66,6.38%,clickacompany
