,0,1,2
140,INVLTDPREF,Preference Shares,INVLTDPREF INPR Investec Ltd. Investec-Ltd.
141,INVICTA,Industrial Support Services,INVICTA IVT Invicta Holdings Ltd. Invicta-Holdings-Ltd.
142,IVT PREF,Preference Shares,IVT PREF IVTP Invicta Holdings Ltd. Invicta-Holdings-Ltd.
143,ISA,Software and Computer Services,ISA ISA ISA Holdings Ltd. ISA-Holdings-Ltd.
144,INSIMBI,Industrial Metals and Mining,INSIMBI ISB Insimbi Industrial Holdings Ltd. Insimbi-Industrial-Holdings-Ltd.
145,ITLTILE,Retailers,ITLTILE ITE Italtile Ltd. Italtile-Ltd.
146,JUBILEE,Precious Metals and Mining,JUBILEE JBL Jubilee Metals Group plc Jubilee-Metals-Group-plc
147,JSE,Investment Banking and Brokerage Services,JSE JSE JSE Ltd. JSE-Ltd.
148,KAL GROUP,Retailers,KAL GROUP KAL KAL Group Ltd. KAL-Group-Ltd.
149,KAP,General Industrials,KAP KAP KAP Ltd. KAP-Ltd.
150,KAROO,Software and Computer Services,KAROO KRO Karooooo Ltd. Karooooo-Ltd.
151,KIBO,Industrial Metals and Mining,KIBO KBO Kibo Energy plc Kibo-Energy-plc
152,KUMBA,Industrial Metals and Mining,KUMBA KIO Kumba Iron Ore Ltd. Kumba-Iron-Ore-Ltd.
153,KORE,Industrial Metals and Mining,KORE KP2 Kore Potash plc Kore-Potash-plc
154,PSG FIN,Investment Banking and Brokerage Services,PSG FIN KST PSG Financial Services Ltd. PSG-Financial-Services-Ltd.
155,LABAT,Industrial Transportation,LABAT LAB Labat Africa Ltd. Labat-Africa-Ltd.
156,LESAKA,Industrial Support Services,LESAKA LSK Lesaka Technologies Inc. Lesaka-Technologies-Inc.
157,LEWIS,Retailers,LEWIS LEW Lewis Group Ltd. Lewis-Group-Ltd.
158,LIFEHC,Health Care Providers,LIFEHC LHC Life Healthcare Group Holdings Ltd. Life-Healthcare-Group-Holdings-Ltd.
159,LIBSTAR,Food Producers,LIBSTAR LBR Libstar Holdings Ltd. Libstar-Holdings-Ltd.
160,LIGHTPROP,Real Estate Investment and Services,LIGHTPROP LTE Lighthouse Properties plc Lighthouse-Properties-plc
161,LONFIN,Investment Banking and Brokerage Services,LONFIN LNF London Finance & Investment Group plc London-Finance-&-Investment-Group-plc
162,MAHUBE,Electricity,MAHUBE MHB Mahube Infrastructure Ltd. Mahube-Infrastructure-Ltd.
163,MANTENGU,Industrial Engineering,MANTENGU MTU Mantengu Mining Ltd. Mantengu-Mining-Ltd.
164,MC MINING,"Oil, Gas and Coal",MC MINING MCZ MC Mining Ltd. MC-Mining-Ltd.
165,MASTDRILL,Industrial Metals and Mining,MASTDRILL MDI Master Drilling Group Ltd. Master-Drilling-Group-Ltd.
166,METROFILE,Industrial Support Services,METROFILE MFL Metrofile Holdings Ltd. Metrofile-Holdings-Ltd.
167,MARSHALL,Industrial Support Services,MARSHALL MMP Marshall Monteagle plc Marshall-Monteagle-plc
168,MONDIPLC,General Industrials,MONDIPLC MNP Mondi plc Mondi-plc
169,MOMMET,Life Insurance,MOMMET MTM Momentum Metropolitan Holdings Ltd. Momentum-Metropolitan-Holdings-Ltd.
170,MNTKRENEW,Alternative Energy,MNTKRENEW MKR Montauk Renewables Inc. Montauk-Renewables-Inc.
171,MOTUS,Retailers,MOTUS MTH Motus Holdings Ltd. Motus-Holdings-Ltd.
172,MPACT,General Industrials,MPACT MPT Mpact Ltd. Mpact-Ltd.
173,MERAFE,Industrial Metals and Mining,MERAFE MRF Merafe Resources Ltd. Merafe-Resources-Ltd.
174,MRPRICE,Retailers,MRPRICE MRP Mr Price Group Ltd. Mr-Price-Group-Ltd.
175,MAS,Real Estate Investment and Services,MAS MSP MAS plc MAS-plc
176,MUSTEK,Technology Hardware and Equipment,MUSTEK MST Mustek Ltd. Mustek-Ltd.
177,METAIR,Automobiles and Parts,METAIR MTA Metair Investments Ltd. Metair-Investments-Ltd.
178,MTNZFUTHI,Open End and Miscellaneous Investment Vehicles,MTNZFUTHI MTNZF MTN Zakhele Futhi (RF) Ltd. MTN-Zakhele-Futhi-(RF)-Ltd.
179,MTN GROUP,Telecommunications Service Providers,MTN GROUP MTN MTN Group Ltd. MTN-Group-Ltd.
